Region,Participant_IMD,Contact_IMD,Participant_age_group,Contact_age_group,mean,lower,upper
East of England,1,1,5-9,55-59,0.02928980084994971,0,0.13167073649847627
Greater London,1,1,5-9,55-59,0.034820940995991395,0,0.09766443827182211
North East,1,1,5-9,55-59,0.03565261430301525,0,0.11026467018121494
North West,1,1,5-9,55-59,0.06023015616929484,0.012389125685705375,0.12025852358510804
South East,1,1,5-9,55-59,0.1020214726200616,0,0.2862572585769142
South West,1,1,5-9,55-59,0.06764129370464982,0,0.22090230766484448
West Midlands,1,1,5-9,55-59,0.040897047517511505,0,0.09677421710002955
Yorkshire and the Humber,1,1,5-9,55-59,0.08968990699105438,0.01724137939214165,0.2000005494536206
East Midlands,1,1,5-9,60-64,0.06248121195028173,0,0.20442099329760463
East of England,1,1,5-9,60-64,0.023966423967352327,0,0.1220574729170734
Greater London,1,1,5-9,60-64,0.048369655555134505,0,0.14111440990537466
North East,1,1,5-9,60-64,0.14759988786070874,0,0.39800445768566145
North West,1,1,5-9,60-64,0.06617425864398649,0.015589047820060794,0.12958965362119038
South East,1,1,5-9,60-64,0.10810978563284732,0,0.29461612573341456
South West,1,1,5-9,60-64,0.088250425923665,0,0.30604473074434096
West Midlands,1,1,5-9,60-64,0.07224006212224837,0.0119047619047619,0.16520377116125806
Yorkshire and the Humber,1,1,5-9,60-64,0.12618354201342924,0.015219869363065752,0.4147630520888791
East Midlands,1,1,5-9,65-69,0.08282464878709773,0,0.24223092675539282
East of England,1,1,5-9,65-69,0.11242640861964588,0,0.5416410256677595
Greater London,1,1,5-9,65-69,0.050090018902140696,0,0.13360597239080038
North East,1,1,5-9,65-69,0.07827595631033182,0,0.2257041084130382
North West,1,1,5-9,65-69,0.05206405942709236,0,0.13890821592486494
South East,1,1,5-9,65-69,0.056893359876211885,0,0.25000069526219965
South West,1,1,5-9,65-69,0.06476876063233591,0,0.2747373174828883
West Midlands,1,1,5-9,65-69,0.08099954526772031,0.01428571429996315,0.19724484323767139
Yorkshire and the Humber,1,1,5-9,65-69,0.09591027135927768,0.019216035544757305,0.21299037048712632
East Midlands,1,1,5-9,70-74,0.01565910944195446,0,0.066666719445058
East of England,1,1,5-9,70-74,0.0758346319635306,0,0.44458488533326573
Greater London,1,1,5-9,70-74,0.022763266135861764,0,0.08068724206322496
North East,1,1,5-9,70-74,0.02269085291237018,0,0.08333337446338733
North West,1,1,5-9,70-74,0.03520772649008697,0,0.091925812610759855
South East,1,1,5-9,70-74,0.044206855336952,0,0.20395081782748742
South West,1,1,5-9,70-74,0.11330530195433719,0,0.409260423304605
West Midlands,1,1,5-9,70-74,0.05276973402197876,0,0.1562510046335973
Yorkshire and the Humber,1,1,5-9,70-74,0.017106368815376236,0,0.07045718935753499
East Midlands,1,1,5-9,75+,0.022181565150437604,0,0.21906288488951614
East of England,1,1,5-9,75+,0.04832947112986735,0,0.31250051308640864
Greater London,1,1,5-9,75+,0.08065726774925329,0,0.33277448843756513
North East,1,1,5-9,75+,0.01286014707421356,0,0.0714305376091365
North West,1,1,5-9,75+,0.082189371454773,0,0.2111734053878552
South East,1,1,5-9,75+,0.02323981161776437,0,0.13341012033544594
South West,1,1,5-9,75+,0.08727438560405111,0,0.409280684326744
West Midlands,1,1,5-9,75+,0.07782962089672756,0,0.2647033985271319
Yorkshire and the Humber,1,1,5-9,75+,0.05238042457043327,0,0.14286338672494187
East Midlands,1,1,10-14,0-4,0.33903761759067585,0,0.8579253268346269
East of England,1,1,10-14,0-4,0.25360668271089865,0.02631578959656885,0.5461615250448788
