Region,Participant_IMD,Contact_IMD,Participant_age_group,Contact_age_group,mean,lower,upper
East Midlands,1,3,5-11,18-25,0.21954000333384746,0.033254773717639026,0.5726065680245499
East Midlands,1,3,5-11,26-34,0.08283523880710333,0,0.21083205764126214
East Midlands,1,3,5-11,35-49,0.14188595344009114,0.02272727272727275,0.3534094579427041
East Midlands,1,3,5-11,5-11,0.6054286539071058,0.22667051410378614,1.1043219940114837
East Midlands,1,3,5-11,50-69,0.1283298813783545,0,0.32623318799110135
East Midlands,1,3,5-11,70-79,0.022488565626935464,0,0.08830290126978796
East Midlands,1,3,5-11,80+,0.014413733020788822,0,0.15483046870381248
East Midlands,1,3,50-69,0-4,0.03554708369019083,0,0.1288515945587866
East Midlands,1,3,50-69,12-17,0.03801851279685557,0,0.11582390015385986
East Midlands,1,3,50-69,18-25,0.12513341863466923,0.019224576859270332,0.5639304535349672
East Midlands,1,3,50-69,26-34,0.12725118550653203,0.035716669937539386,0.3256679569193725
East Midlands,1,3,50-69,35-49,0.2267655536194426,0.09730671149369453,0.40072362161926556
East Midlands,1,3,50-69,5-11,0.040867784684951766,0,0.11063366440508798
East Midlands,1,3,50-69,50-69,0.24511218840574822,0.12776740804429654,0.39399408604550124
East Midlands,1,3,50-69,70-79,0.06286499622575858,0,0.14764880459645865
East Midlands,1,3,50-69,80+,0.02245721854063575,0,0.067309695695807
East Midlands,1,3,70-79,0-4,0.022795210996755636,0,0.20009576718519217
East Midlands,1,3,70-79,12-17,0.021134167864780718,0,0.12603081231125265
East Midlands,1,3,70-79,18-25,0.09616163995202855,0,0.5433017852889824
East Midlands,1,3,70-79,26-34,0.07708725876266018,0,0.274220439357764
East Midlands,1,3,70-79,35-49,0.12483742231238792,0,0.3539200239605911
East Midlands,1,3,70-79,5-11,0.01341696833823206,0,0.0858712371183878
East Midlands,1,3,70-79,50-69,0.19608553880463292,0,0.5649182531605643
East Midlands,1,3,70-79,70-79,0.29594166726471127,0,1.3066944306306791
East Midlands,1,3,70-79,80+,0.0962866837159416,0,0.5383606763891803
East Midlands,1,3,80+,0-4,0.04038410809816782,0,0.5
East Midlands,1,3,80+,12-17,0.01885092940451884,0,0.18532213342138423
East Midlands,1,3,80+,18-25,0.06516223644542479,0,0.3252057843082033
East Midlands,1,3,80+,26-34,0.05344305047311765,0,0.24844004946603415
East Midlands,1,3,80+,35-49,0.05921929209523232,0,0.2440000873803679
East Midlands,1,3,80+,5-11,0.006307509934136328,0,0.06408151279989543
East Midlands,1,3,80+,50-69,0.08390060742139782,0,0.47200411335098313
East Midlands,1,3,80+,70-79,0.17810881890627575,0,0.6949922310945817
East Midlands,1,3,80+,80+,0.0713063723784451,0,0.5588433477184978
East Midlands,1,4,0-4,0-4,0.4741807690742336,0,1.5280917822614724
East Midlands,1,4,0-4,12-17,0.15264568133165177,0,0.4831524800925283
East Midlands,1,4,0-4,18-25,0.10398161817166184,0,0.350277737312587
East Midlands,1,4,0-4,26-34,0.08259673324094989,0,0.333333702247758
East Midlands,1,4,0-4,35-49,0.31229324795906926,0,0.9629631460896412
East Midlands,1,4,0-4,5-11,0.17389689770477454,0,0.5831847292751628
East Midlands,1,4,0-4,50-69,0.1287697651207347,0,0.4303806548802045
East Midlands,1,4,0-4,70-79,0.031314732225084345,0,0.17965542507629198
East Midlands,1,4,0-4,80+,0.09062361576874495,0,0.832612244117226
East Midlands,1,4,12-17,0-4,0.1670037470322517,0,0.47714643335103046
East Midlands,1,4,12-17,12-17,1.3438502605790625,0.27987128024612784,3.221109137360471
East Midlands,1,4,12-17,18-25,0.1860808967353034,0,0.44891865047538265
East Midlands,1,4,12-17,26-34,0.0664513617634054,0,0.22623338700438156
East Midlands,1,4,12-17,35-49,0.298234749685175,0.04724020655432341,0.6932189508268869
East Midlands,1,4,12-17,5-11,0.17008821279071856,0,0.530508114713326
East Midlands,1,4,12-17,50-69,0.15645675830922176,0,0.381322478517118
East Midlands,1,4,12-17,70-79,0.036751143285329864,0,0.15625049412724107
East Midlands,1,4,12-17,80+,0.029315068575969987,0,0.2636271522018069
East Midlands,1,4,18-25,0-4,0.06994668863281257,0,0.25424743281382983
East Midlands,1,4,18-25,12-17,0.1145478828627665,0,0.30658620368626416
East Midlands,1,4,18-25,18-25,0.502416960389568,0.15153469476863035,1.0041253988588894
East Midlands,1,4,18-25,26-34,0.24655763746001705,0.050273118253427625,0.5836095748608225
East Midlands,1,4,18-25,35-49,0.1376647279420874,0.018873960889993744,0.31399051505440484
East Midlands,1,4,18-25,5-11,0.046261914899558436,0,0.1685896905332442
East Midlands,1,4,18-25,50-69,0.13910348861707914,0.019823646119399813,0.3419352133270915
East Midlands,1,4,18-25,70-79,0.060356182609380096,0,0.360054416710221
East Midlands,1,4,18-25,80+,0.02257655231109247,0,0.125002706346864
East Midlands,1,4,26-34,0-4,0.07848111864645976,0,0.23579222990305188
East Midlands,1,4,26-34,12-17,0.11730231824046175,0.017070739507985915,0.29638994965229176
East Midlands,1,4,26-34,18-25,0.2746594125724883,0.07143157020330468,0.5869209106351769
East Midlands,1,4,26-34,26-34,0.26949663390738293,0.07520934248715164,0.606074448567477
East Midlands,1,4,26-34,35-49,0.24119324747591406,0.07741402138004551,0.4910355938651742
East Midlands,1,4,26-34,5-11,0.09898071570256205,0.015145572988616626,0.23660468692006945
East Midlands,1,4,26-34,50-69,0.19277700136310147,0.04941567291808149,0.48376951992407913
East Midlands,1,4,26-34,70-79,0.03163288100407612,0,0.12199704364424128
East Midlands,1,4,26-34,80+,0.005821162311522218,0,0.04000000015831525
East Midlands,1,4,35-49,0-4,0.06579127911266223,0,0.18590807518030825
East Midlands,1,4,35-49,12-17,0.07305029479056296,0.011093660186966992,0.17467184620854528
